ward,outcome,ym,actual_rate,distance,similarity_weight
5F,I,202507,0.20146222583265638,1.4317108457622119,0.2293184927643352
5F,I,202506,0.15903197925669835,1.6464182719669416,0.17777813106710336
5F,I,202508,0.20911949685534592,1.651246510700489,0.17682634035631137
5F,I,202603,0.18606701940035272,1.7798880659192782,0.15403840843957128
5F,I,202509,0.19110690633869443,1.9286102418643538,0.132784425257008
5F,I,202511,0.15801704105344694,1.9568047863656903,0.12925420211567087
5F,II,202507,0.18359057676685622,1.4317108457622119,0.2293184927643352
5F,II,202506,0.1512532411408816,1.6464182719669416,0.17777813106710336
5F,II,202508,0.18474842767295596,1.651246510700489,0.17682634035631137
5F,II,202603,0.1693121693121693,1.7798880659192782,0.15403840843957128
5F,II,202509,0.15137180700094607,1.9286102418643538,0.132784425257008
5F,II,202511,0.15027110766847404,1.9568047863656903,0.12925420211567087
6F,I,202508,0.19028974158183243,1.0694108065597865,0.24741705387910737
6F,I,202509,0.17298797409805736,1.2419120406645974,0.1898917630753529
6F,I,202601,0.1263782866836302,1.3592705588731007,0.16150854674095322
6F,I,202511,0.15137254901960784,1.4424043760953256,0.14508515744890846
6F,I,202510,0.1520068317677199,1.4683125679677678,0.14047689403174593
6F,I,202602,0.10116731517509728,1.6338045781219592,0.11562058482393207
6F,II,202508,0.14487079091620986,1.0694108065597865,0.24741705387910737
6F,II,202509,0.14061054579093432,1.2419120406645974,0.1898917630753529
6F,II,202601,0.08312128922815945,1.3592705588731007,0.16150854674095322
6F,II,202511,0.13098039215686275,1.4424043760953256,0.14508515744890846
6F,II,202510,0.11699402220324509,1.4683125679677678,0.14047689403174593
6F,II,202602,0.06031128404669261,1.6338045781219592,0.11562058482393207
